TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-02 04:00:00,14.29,34.105000000000004,22.12,0.28,1.82,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 05:00:00,14.29,34.105000000000004,20.83,0.31,1.74,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 06:00:00,14.29,34.105000000000004,19.76,0.68,1.66,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 07:00:00,14.29,34.105000000000004,17.77,0.05,1.4,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 08:00:00,14.29,34.105000000000004,30.16,0.3,1.45,0.12,January,Winter,Christmas & New Year,37.7,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 09:00:00,14.29,34.105000000000004,39.37,0.09,1.63,0.12,January,Winter,Christmas & New Year,49.2125,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 10:00:00,14.29,34.105000000000004,34.36,0.18,1.5,0.12,January,Winter,Christmas & New Year,42.95,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 11:00:00,14.29,34.105000000000004,33.31,0.17,1.49,0.12,January,Winter,Christmas & New Year,41.6375,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 12:00:00,14.29,34.105000000000004,32.78,0.44,1.69,0.12,January,Winter,Christmas & New Year,40.975,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 13:00:00,14.29,34.105000000000004,37.46,0.1,1.84,0.12,January,Winter,Christmas & New Year,46.825,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 14:00:00,14.29,34.105000000000004,36.26,0.44,1.69,0.12,January,Winter,Christmas & New Year,45.324999999999996,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 15:00:00,14.29,34.105000000000004,34.03,0.2,1.61,0.12,January,Winter,Christmas & New Year,42.5375,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 16:00:00,14.29,34.105000000000004,32.06,0.14,1.8,0.12,January,Winter,Christmas & New Year,40.075,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 17:00:00,14.29,34.105000000000004,29.7,0.32,1.68,0.12,January,Winter,Christmas & New Year,37.125,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 18:00:00,14.29,34.105000000000004,30.0,0.25,1.64,0.12,January,Winter,Christmas & New Year,37.5,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 19:00:00,14.29,34.105000000000004,29.16,0.3,1.44,0.12,January,Winter,Christmas & New Year,36.45,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 20:00:00,14.29,34.105000000000004,31.11,0.12,1.72,0.12,January,Winter,Christmas & New Year,38.8875,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 21:00:00,14.29,34.105000000000004,33.99,0.58,1.54,0.12,January,Winter,Christmas & New Year,42.487500000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 22:00:00,14.29,34.105000000000004,31.76,0.02,1.67,0.12,January,Winter,Christmas & New Year,39.7,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-02 23:00:00,14.29,34.105000000000004,25.12,0.12,1.54,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 00:00:00,14.29,34.105000000000004,18.1,0.26,1.5,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 01:00:00,14.29,34.105000000000004,17.27,0.32,1.5,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 02:00:00,14.29,34.105000000000004,17.74,0.09,1.6,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 03:00:00,14.29,34.105000000000004,17.85,0.04,1.07,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 04:00:00,14.29,34.105000000000004,17.58,0.05,0.77,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 05:00:00,14.29,34.105000000000004,17.02,0.13,1.63,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 06:00:00,14.29,34.105000000000004,16.59,0.11,1.71,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 07:00:00,14.29,34.105000000000004,18.3,0.25,1.48,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 08:00:00,14.29,34.105000000000004,23.8,0.12,1.76,0.12,January,Winter,Christmas & New Year,34.105000000000004,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 09:00:00,14.29,34.105000000000004,34.4,0.45,1.56,0.12,January,Winter,Christmas & New Year,43.0,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 10:00:00,14.29,34.105000000000004,30.37,4.0,0.86,0.12,January,Winter,Christmas & New Year,37.9625,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 11:00:00,14.29,34.105000000000004,33.46,0.23,0.9,0.12,January,Winter,Christmas & New Year,41.825,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 12:00:00,14.29,34.105000000000004,33.9,0.1,1.89,0.12,January,Winter,Christmas & New Year,42.375,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 13:00:00,14.29,34.105000000000004,34.4,0.32,1.96,0.12,January,Winter,Christmas & New Year,43.0,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 14:00:00,14.29,34.105000000000004,39.22,0.34,1.9,0.12,January,Winter,Christmas & New Year,49.025,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 15:00:00,14.29,34.105000000000004,36.08,0.22,2.04,0.12,January,Winter,Christmas & New Year,45.099999999999994,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
2024-01-03 16:00:00,14.29,34.105000000000004,31.12,0.22,1.87,0.12,January,Winter,Christmas & New Year,38.9,Good,Ariyalur,Tamil Nadu,11.1530559,79.2585797
