TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE,LATITUDE,LONGITUDE
2024-01-02 09:00:00,42.4,90.0,3.99,11.52,2.7,0.23,January,Winter,Christmas & New Year,90.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 10:00:00,21.24,44.760000000000005,4.06,11.46,8.76,0.23,January,Winter,Christmas & New Year,44.760000000000005,Good,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 11:00:00,35.04,74.0,4.01,11.5,2.33,0.23,January,Winter,Christmas & New Year,74.0,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 12:00:00,36.29,76.72,3.96,11.5,2.73,0.23,January,Winter,Christmas & New Year,76.72,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 13:00:00,34.75,73.37,4.03,11.5,2.9,0.23,January,Winter,Christmas & New Year,73.37,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 14:00:00,30.82,64.8,4.06,11.5,2.9,0.23,January,Winter,Christmas & New Year,64.8,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 15:00:00,30.02,63.09,4.04,11.5,3.02,0.23,January,Winter,Christmas & New Year,63.09,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 16:00:00,32.06,67.54,4.03,11.49,3.04,0.23,January,Winter,Christmas & New Year,67.54,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 17:00:00,41.89,88.89,4.01,11.49,2.72,0.23,January,Winter,Christmas & New Year,88.89,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 18:00:00,42.02,89.18,3.96,11.49,2.38,0.23,January,Winter,Christmas & New Year,89.18,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 19:00:00,34.0,71.8,3.99,11.5,2.29,0.23,January,Winter,Christmas & New Year,71.8,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
2024-01-02 20:00:00,31.11,65.46,4.11,11.5,1.96,0.23,January,Winter,Christmas & New Year,65.46,Satisfactory,Tiruchirappalli,Tamil Nadu,10.8071144,78.6880939
