TIMESTAMP,PM2.5,PM10,NO2,NH3,SO2,CO,O3,MONTH,SEASON,FESTIVAL_SEASON,AQI,AQI_CATEGORY,CITY,STATE
2024-06-13 18:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-13 19:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-13 20:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-13 21:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-13 22:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-13 23:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 00:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 01:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 02:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 03:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 04:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 05:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 06:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 07:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 08:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
2024-06-14 09:00:00,25.18,46.5,2.46,0.91,3.43,0.27,2.57,June,Monsoon,Non-Festival Period,46.5,Good,Naharlagun,Arunchal Pradesh
